,app_id,app_name,neg,pos,steam_score,wilson
0,620,Portal 2,"1,067","92,662",98.86%,98.78%
1,427520,Factorio,304,"23,209",98.71%,98.53%
2,400630,Wuppo,0,315,100%,98.43%
3,264200,One Finger Death Punch,170,"11,697",98.57%,98.30%
4,435400,Hidden Folks,9,"1,077",99.17%,98.29%
5,411960,TY the Tasmanian Tiger,12,"1,259",99.06%,98.23%
6,420530,OneShot,34,"2,743",98.78%,98.21%
7,400,Portal,650,"33,637",98.10%,97.93%
8,341800,Keep Talking and Nobody Explodes,55,"3,488",98.45%,97.91%
9,424280,Iron Snout,183,"10,092",98.22%,97.90%
10,10,Counter-Strike,"1,914","89,130",97.90%,97.79%
11,400910,Rabi-Ribi,72,"3,908",98.19%,97.65%
12,238460,BattleBlock Theater,835,"36,932",97.79%,97.61%
13,436820,Waltz of the Wizard,8,700,98.87%,97.57%
14,471710,Rec Room,21,"1,356",98.47%,97.54%
15,425580,The Room Two,54,"2,878",98.16%,97.51%
16,351640,Eternal Senia,168,"7,804",97.89%,97.50%
17,250900,The Binding of Isaac: Rebirth,"1,317","54,226",97.63%,97.48%
18,388210,Day of the Tentacle Remastered,27,"1,610",98.35%,97.48%
19,344770,fault - milestone two side:above,10,774,98.72%,97.47%
20,219150,Hotline Miami,875,"35,924",97.62%,97.44%
21,412830,STEINS;GATE,17,"1,109",98.49%,97.43%
22,420110,NEKOPARA Vol. 2,145,"6,556",97.84%,97.40%
23,324160,CLANNAD,17,"1,088",98.46%,97.39%
24,32150,Everyday Genius: SquareLogic,1,256,99.61%,97.38%
25,292030,The Witcher 3: Wild Hunt,"2,451","94,951",97.48%,97.37%
26,433950,Bit Blaster XL,72,"3,481",97.97%,97.37%
27,213670,South Park™: The Stick of Truth™,731,"29,357",97.57%,97.36%
28,214560,Mark of the Ninja,301,"12,539",97.66%,97.34%
29,250320,The Wolf Among Us,441,"17,889",97.59%,97.33%
30,450390,The Lab,33,"1,780",98.18%,97.33%
31,413150,Stardew Valley,"1,476","55,514",97.41%,97.26%
32,602520,NEKOPARA Vol. 3,69,"3,115",97.83%,97.17%
33,294100,RimWorld,345,"13,373",97.49%,97.17%
34,247080,Crypt of the NecroDancer,235,"9,313",97.54%,97.16%
35,303310,The House in Fata Morgana,0,171,100%,97.15%
36,227300,Euro Truck Simulator 2,"2,652","94,042",97.26%,97.14%
37,48700,Mount & Blade: Warband,"1,528","54,696",97.28%,97.12%
38,206190,Gunpoint,237,"9,206",97.49%,97.10%
39,219740,Don't Starve,"1,432","50,517",97.24%,97.08%
40,447530,VA-11 Hall-A: Cyberpunk Bartender Action,93,"3,878",97.66%,97.06%
41,205100,Dishonored,909,"32,230",97.26%,97.05%
42,368340,CrossCode,40,"1,841",97.87%,96.99%
43,105600,Terraria,"5,333","176,485",97.07%,96.98%
44,413420,Danganronpa 2: Goodbye Despair,50,"2,213",97.79%,96.98%
45,327140,Tilt Brush,9,601,98.52%,96.97%
46,220,Half-Life 2,"1,340","45,630",97.15%,96.97%
47,227000,Primordia,27,"1,325",98.00%,96.96%
48,367580,Hook,120,"4,699",97.51%,96.96%
49,312990,The Expendabros,362,"12,872",97.26%,96.93%
50,206440,To the Moon,934,"31,646",97.13%,96.92%
51,499440,klocki,56,"2,375",97.70%,96.91%
52,550,Left 4 Dead 2,"5,306","171,042",96.99%,96.90%
53,413410,Danganronpa: Trigger Happy Havoc,70,"2,818",97.58%,96.85%
54,407900,Princess Remedy in a World of Hurt,40,"1,728",97.74%,96.80%
55,316720,planetarian ~the reverie of a little planet~,25,"1,186",97.94%,96.80%
56,207610,The Walking Dead,"1,031","33,485",97.01%,96.80%
57,555220,Detention,88,"3,376",97.46%,96.79%
58,212680,FTL: Faster Than Light,"1,099","35,394",96.99%,96.78%
59,107100,Bastion,687,"22,436",97.03%,96.77%
60,221640,Super Hexagon,557,"18,208",97.03%,96.74%
61,13230,Unreal Tournament 2004,38,"1,618",97.71%,96.73%
